"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","IDX2015","Q","2019-Q3",107.1744,
"AUS","CPI","TOT","IDX2015","Q","2019-Q4",107.9173,
"AUS","CPI","TOT","IDX2015","Q","2020-Q1",108.2888,
"AUS","CPI","TOT","IDX2015","Q","2020-Q2",106.2456,
"AUS","CPI","TOT","IDX2015","Q","2020-Q3",107.9173,
"AUS","CPI","TOT","IDX2015","Q","2020-Q4",108.8461,
"AUS","CPI","TOT","IDX2015","Q","2021-Q1",109.4962,
"AUS","CPI","TOT","IDX2015","Q","2021-Q2",110.332,
"AUS","CPI","TOT","IDX2015","Q","2021-Q3",111.1679,
"AUS","CPI","TOT","IDX2015","Q","2021-Q4",112.6538,
"AUT","CPI","TOT","IDX2015","Q","2000-Q1",73.86505,
"AUT","CPI","TOT","IDX2015","Q","2000-Q2",74.34882,
"AUT","CPI","TOT","IDX2015","Q","2000-Q3",74.88561,
"AUT","CPI","TOT","IDX2015","Q","2000-Q4",75.40253,
"AUT","CPI","TOT","IDX2015","Q","2001-Q1",75.91901,
"AUT","CPI","TOT","IDX2015","Q","2001-Q2",76.64039,
"AUT","CPI","TOT","IDX2015","Q","2001-Q3",76.83939,
"AUT","CPI","TOT","IDX2015","Q","2001-Q4",77.01352,
"AUT","CPI","TOT","IDX2015","Q","2002-Q1",77.41152,
"AUT","CPI","TOT","IDX2015","Q","2002-Q2",78.00852,
"AUT","CPI","TOT","IDX2015","Q","2002-Q3",78.15778,
"AUT","CPI","TOT","IDX2015","Q","2002-Q4",78.38165,
"AUT","CPI","TOT","IDX2015","Q","2003-Q1",78.77966,
"AUT","CPI","TOT","IDX2015","Q","2003-Q2",78.92891,
"AUT","CPI","TOT","IDX2015","Q","2003-Q3",79.15279,
"AUT","CPI","TOT","IDX2015","Q","2003-Q4",79.32691,
"AUT","CPI","TOT","IDX2015","Q","2004-Q1",79.84929,
"AUT","CPI","TOT","IDX2015","Q","2004-Q2",80.49604,
"AUT","CPI","TOT","IDX2015","Q","2004-Q3",80.86917,
"AUT","CPI","TOT","IDX2015","Q","2004-Q4",81.49105,
"AUT","CPI","TOT","IDX2015","Q","2005-Q1",82.16676,
"AUT","CPI","TOT","IDX2015","Q","2005-Q2",82.49686,
"AUT","CPI","TOT","IDX2015","Q","2005-Q3",82.66191,
"AUT","CPI","TOT","IDX2015","Q","2005-Q4",82.79945,
"AUT","CPI","TOT","IDX2015","Q","2006-Q1",83.10204,
"AUT","CPI","TOT","IDX2015","Q","2006-Q2",83.84476,
