"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HOUSECOST","REAL","IDX2015","Q","2016-Q3",105.44676577084,
"DNK","HOUSECOST","REAL","IDX2015","Q","2016-Q4",105.877772924166,
"DNK","HOUSECOST","REAL","IDX2015","Q","2017-Q1",105.71940993812,
"DNK","HOUSECOST","REAL","IDX2015","Q","2017-Q2",108.100712268418,
"DNK","HOUSECOST","REAL","IDX2015","Q","2017-Q3",109.057867447756,
"DNK","HOUSECOST","REAL","IDX2015","Q","2017-Q4",109.665984338404,
"DNK","HOUSECOST","REAL","IDX2015","Q","2018-Q1",111.534111749408,
"DNK","HOUSECOST","REAL","IDX2015","Q","2018-Q2",112.447951280179,
"DNK","HOUSECOST","REAL","IDX2015","Q","2018-Q3",112.955928156333,
"DNK","HOUSECOST","REAL","IDX2015","Q","2018-Q4",113.139486537358,
"DNK","HOUSECOST","REAL","IDX2015","Q","2019-Q1",113.924033322498,
"DNK","HOUSECOST","REAL","IDX2015","Q","2019-Q2",114.202725048909,
"DNK","HOUSECOST","REAL","IDX2015","Q","2019-Q3",115.007921389182,
"DNK","HOUSECOST","REAL","IDX2015","Q","2019-Q4",114.70451898456,
"DNK","HOUSECOST","REAL","IDX2015","Q","2020-Q1",115.306011686607,
"DNK","HOUSECOST","REAL","IDX2015","Q","2020-Q2",116.558882347579,
"DNK","HOUSECOST","REAL","IDX2015","Q","2020-Q3",120.520036406696,
"DNK","HOUSECOST","REAL","IDX2015","Q","2020-Q4",127.069367893913,
"DNK","HOUSECOST","REAL","IDX2015","Q","2021-Q1",131.046710918825,
"DNK","HOUSECOST","REAL","IDX2015","Q","2021-Q2",132.13418061401,
"DNK","HOUSECOST","REAL","IDX2015","Q","2021-Q3",131.576730264239,
"DNK","HOUSECOST","REAL","IDX2015","Q","2021-Q4",130.215387482515,
"DNK","HOUSECOST","REAL","IDX2015","Q","2022-Q1",128.998711691502,
"DNK","HOUSECOST","REAL","IDX2015","Q","2022-Q2",127.065967881234,
